what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1346217456569
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1346217456572
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1346217456575
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1346217456576
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1346217456577
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1346217456578
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1346217456579
started,bundle,org.eclipse.emf.common.ui,2.6.0.v20100914-1218,"org.eclipse.emf.common.ui",1346217456580
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1346217456582
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1346217456583
started,bundle,org.eclipse.emf.edit,2.6.0.v20100914-1218,"org.eclipse.emf.edit",1346217456584
started,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1346217456585
started,bundle,org.eclipse.emf.examples.library,2.5.0.v20100521-1846,"org.eclipse.emf.examples.library",1346217456586
started,bundle,org.eclipse.emf.validation,1.4.0.v20100428-2315,"org.eclipse.emf.validation",1346217456587
started,bundle,org.eclipse.emf.validation.examples.adapter,1.2.0.v200901271722,"org.eclipse.emf.validation.examples.adapter",1346217456588
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1346217456589
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1346217456590
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1346217456590
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1346217456591
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1346217456592
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1346217456593
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,"org.eclipse.equinox.p2.core",1346217456594
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,"org.eclipse.equinox.p2.directorywatcher",1346217456595
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1346217456596
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1346217456597
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1346217456598
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1346217456599
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1346217456600
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1346217456601
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1346217456602
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1346217456603
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1346217456604
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1346217456608
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1346217456610
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1346217456611
started,bundle,org.eclipse.gmt.modisco.xml,0.8.2.v201102100957,"org.eclipse.gmt.modisco.xml",1346217456611
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1346217456612
started,bundle,org.eclipse.help.base,3.5.3.v201102101200,"org.eclipse.help.base",1346217456613
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1346217456615
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1346217456616
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1346217456621
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1346217456622
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1346217456622
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1346217456623
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1346217456624
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice.ui",1346217456625
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1346217456626
started,bundle,org.eclipse.m2m.atl.adt.ui,3.1.2.v20110119-0755,"org.eclipse.m2m.atl.adt.ui",1346217456627
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1346217456628
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1346217456629
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1346217456629
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1346217456630
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1346217456631
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1346217456633
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1346217456634
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1346217456634
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1346217456635
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1346217456636
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1346217456637
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1346217456639
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1346217456640
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1346217456642
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1346217456643
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1346217456644
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1346217456645
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1346217456647
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1346217456648
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1346217456649
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1346217456650
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1346217456651
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1346217456653
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1346217456654
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1346217456655
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1346217456657
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1346217456658
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1346217456659
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1346217456660
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1346217456661
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1346217456662
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1346217456663
started,bundle,com.ibm.ccl.help.preferenceharvester,1.0.6.v20110526_1632,"com.ibm.ccl.help.preferenceharvester",1346217456664
started,bundle,com.ibm.team.apt.common,3.0.1.v20110602_1036,"com.ibm.team.apt.common",1346217456665
started,bundle,com.ibm.team.build.ui,3.0.1.v20110602_1036,"com.ibm.team.build.ui",1346217456666
started,bundle,com.ibm.team.collaboration.rcp.core,1.1.1.v20110524_1821,"com.ibm.team.collaboration.rcp.core",1346217456667
started,bundle,com.ibm.team.collaboration.rcp.ui,1.1.1.v20110524_1821,"com.ibm.team.collaboration.rcp.ui",1346217456668
started,bundle,com.ibm.team.feed.core,1.1.1.v20110524_1821,"com.ibm.team.feed.core",1346217456670
started,bundle,com.ibm.team.feed.ui,1.1.1.v20110524_1821,"com.ibm.team.feed.ui",1346217456671
started,bundle,com.ibm.team.filesystem.cli.client,3.0.1.v20110602_1036,"com.ibm.team.filesystem.cli.client",1346217456673
started,bundle,com.ibm.team.filesystem.cli.core,3.0.1.v20110602_1036,"com.ibm.team.filesystem.cli.core",1346217456674
started,bundle,com.ibm.team.filesystem.client,3.0.1.v20110602_1036,"com.ibm.team.filesystem.client",1346217456676
started,bundle,com.ibm.team.filesystem.common,3.0.1.v20110602_1036,"com.ibm.team.filesystem.common",1346217456678
started,bundle,com.ibm.team.filesystem.ide.ui,3.0.1.v20110602_1036,"com.ibm.team.filesystem.ide.ui",1346217456680
started,bundle,com.ibm.team.filesystem.rcp.core,3.0.1.v20110602_1036,"com.ibm.team.filesystem.rcp.core",1346217456682
started,bundle,com.ibm.team.filesystem.rcp.ui,3.0.1.v20110602_1036,"com.ibm.team.filesystem.rcp.ui",1346217456684
started,bundle,com.ibm.team.filesystem.rcp.ui.workitems,3.0.1.v20110602_1036,"com.ibm.team.filesystem.rcp.ui.workitems",1346217456685
started,bundle,com.ibm.team.foundation.common,1.1.1.v20110524_1821,"com.ibm.team.foundation.common",1346217456687
started,bundle,com.ibm.team.foundation.rcp.core,1.1.1.v20110524_1821,"com.ibm.team.foundation.rcp.core",1346217456688
started,bundle,com.ibm.team.foundation.rcp.ui,1.1.1.v20110524_1821,"com.ibm.team.foundation.rcp.ui",1346217456690
started,bundle,com.ibm.team.fulltext.client,1.1.1.v20110524_1821,"com.ibm.team.fulltext.client",1346217456692
started,bundle,com.ibm.team.fulltext.common,1.1.1.v20110524_1821,"com.ibm.team.fulltext.common",1346217456694
started,bundle,com.ibm.team.fulltext.ide.ui,1.1.1.v20110524_1821,"com.ibm.team.fulltext.ide.ui",1346217456695
started,bundle,com.ibm.team.interop.common,3.0.1.v20110602_1036,"com.ibm.team.interop.common",1346217456696
started,bundle,com.ibm.team.javalogging.ui,1.1.1.v20110524_1821,"com.ibm.team.javalogging.ui",1346217456699
started,bundle,com.ibm.team.jface,1.1.1.v20110524_1821,"com.ibm.team.jface",1346217456700
